66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:32.0 (208855)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:16:32.0 (275726)|EXECUTION_STARTED
16:16:32.0 (289007)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ReaderInsightFormController/ACTION$getquestions
16:16:32.0 (1744242)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000000Ta9s|ReaderInsightFormController.getquestions(String)
16:16:32.0 (2054219)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:32.0 (2156502)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:32.0 (2173612)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:32.0 (2187202)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:32.0 (2210863)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:32.0 (2224482)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
16:16:32.0 (2229264)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
16:16:32.0 (2232504)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:35
16:16:32.0 (2243384)|METHOD_ENTRY|[1]|01p2t000000Ta9s|ReaderInsightFormController.ReaderInsightFormController()
16:16:32.0 (2247934)|STATEMENT_EXECUTE|[1]
16:16:32.0 (2253614)|STATEMENT_EXECUTE|[1]
16:16:32.0 (2256054)|STATEMENT_EXECUTE|[2]
16:16:32.0 (2258094)|STATEMENT_EXECUTE|[11]
16:16:32.0 (2262224)|METHOD_EXIT|[1]|ReaderInsightFormController
16:16:32.0 (2266755)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
16:16:32.0 (2274625)|VARIABLE_SCOPE_BEGIN|[18]|recId|String|false|false
16:16:32.0 (2314466)|VARIABLE_ASSIGNMENT|[18]|recId|"001e200000Omx3EAAR"
16:16:32.0 (2323346)|STATEMENT_EXECUTE|[18]
16:16:32.0 (2325536)|STATEMENT_EXECUTE|[19]
16:16:32.0 (2338516)|HEAP_ALLOCATE|[19]|Bytes:4
16:16:32.0 (2417468)|VARIABLE_SCOPE_BEGIN|[19]|plValues|List<String>|true|false
16:16:32.0 (2447848)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:32.0 (2462848)|VARIABLE_ASSIGNMENT|[19]|plValues|[]|0x7c15a7b4
16:16:32.0 (2467919)|STATEMENT_EXECUTE|[20]
16:16:32.0 (2629743)|HEAP_ALLOCATE|[20]|Bytes:4
16:16:32.0 (2676864)|VARIABLE_SCOPE_BEGIN|[20]|answReaderlist|List<Reader_Insight__c>|true|false
16:16:32.0 (2684505)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:32.0 (2693315)|VARIABLE_ASSIGNMENT|[20]|answReaderlist|[]|0x1b45870b
16:16:32.0 (2698675)|STATEMENT_EXECUTE|[21]
16:16:32.0 (2702155)|HEAP_ALLOCATE|[21]|Bytes:17
16:16:32.0 (2723916)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:32.0 (2748215)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:32.0 (2757886)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:32.0 (3406402)|HEAP_ALLOCATE|[21]|Bytes:4
16:16:32.0 (3655437)|HEAP_ALLOCATE|[21]|Bytes:16
16:16:32.0 (3665277)|HEAP_ALLOCATE|[21]|Bytes:8
16:16:32.0 (3716290)|HEAP_ALLOCATE|[21]|Bytes:4
16:16:32.0 (3723490)|VARIABLE_SCOPE_BEGIN|[21]|devRecordTypeId|Id|false|false
16:16:32.0 (3909184)|VARIABLE_ASSIGNMENT|[21]|devRecordTypeId|"0122t0000004J8FAAU"
16:16:32.0 (3918634)|STATEMENT_EXECUTE|[22]
16:16:32.0 (3984466)|HEAP_ALLOCATE|[22]|Bytes:4
16:16:32.0 (4077598)|HEAP_ALLOCATE|[22]|Bytes:16
16:16:32.0 (4086158)|HEAP_ALLOCATE|[22]|Bytes:6
16:16:32.0 (4124429)|HEAP_ALLOCATE|[22]|Bytes:4
16:16:32.0 (4130419)|VARIABLE_SCOPE_BEGIN|[22]|answTypeId|Id|false|false
16:16:32.0 (4183261)|VARIABLE_ASSIGNMENT|[22]|answTypeId|"0122t0000004J8KAAU"
16:16:32.0 (4188730)|STATEMENT_EXECUTE|[24]
16:16:32.0 (4204951)|HEAP_ALLOCATE|[24]|Bytes:4
16:16:32.0 (4243502)|VARIABLE_SCOPE_BEGIN|[24]|qsids|Set<Id>|true|false
16:16:32.0 (4271572)|VARIABLE_ASSIGNMENT|[24]|qsids|[]|0x1660cb01
16:16:32.0 (4276873)|STATEMENT_EXECUTE|[25]
16:16:32.0 (4281313)|VARIABLE_SCOPE_BEGIN|[25]|caseId|Id|false|false
16:16:32.0 (4290043)|VARIABLE_ASSIGNMENT|[25]|caseId|null
16:16:32.0 (4294652)|STATEMENT_EXECUTE|[26]
16:16:32.0 (4297184)|VARIABLE_SCOPE_BEGIN|[26]|LeadId|Id|false|false
16:16:32.0 (4304024)|VARIABLE_ASSIGNMENT|[26]|LeadId|null
16:16:32.0 (4307714)|STATEMENT_EXECUTE|[27]
16:16:32.0 (4310044)|VARIABLE_SCOPE_BEGIN|[27]|oppId|Id|false|false
16:16:32.0 (4317104)|VARIABLE_ASSIGNMENT|[27]|oppId|null
